FT  ID  AT  WT  ST
4   1   1   0   1
4   4   1   0   1
4   7   1   0   1
4   8   1   0   1
4   9   1   0   1
5   3   1   0   1
5   5   1   0   1
6   2   1   0   1
6   6   1   0   1
6   10   1   0   1
9   11   6   0   6
9   16   6   0   6
10   13   6   0   6
10   17   7   0   7
11   12   6   0   6
11   14   6   0   6
11   15   6   0   6
11   18   7   0   7
12   19   7   0   7
15   20   12   0   12
15   22   12   0   12
15   24   12   0   12
15   27   12   0   12
16   21   12   0   12
16   25   12   0   12
16   26   12   0   12
17   23   12   0   12
17   28   12   0   12
17   29   12   0   12
18   30   14   0   14
